epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3298.55,1.87099,3.45754,2.83366,1.36112,0.48391,0.0716,0.08436,0.04804,0.4655,0.06669,0.07714,0.03437,1.80389,3.22107,1.8199,1.25542,0.000221736,0.000221736,0.000221736
2,7808.39,1.60545,2.93339,1.40366,1.22416,0.49311,0.09137,0.09868,0.05615,0.46332,0.08367,0.09008,0.04039,1.6693,3.06573,1.44971,1.21082,0.000429415,0.000429415,0.000429415
3,11657.1,1.50748,2.81243,1.21465,1.19115,0.42521,0.10053,0.10382,0.05867,0.36875,0.09072,0.09236,0.04027,1.6164,3.05492,1.30881,1.17917,0.00062242,0.00062242,0.00062242
4,14287.7,1.45212,2.75415,1.13988,1.16871,0.42378,0.10549,0.10889,0.06227,0.38644,0.09777,0.10005,0.04453,1.57057,2.91243,1.21904,1.17586,0.000600967,0.000600967,0.000600967
5,16704.7,1.41936,2.69845,1.09778,1.15089,0.42563,0.107,0.11103,0.06451,0.41176,0.09548,0.10026,0.04496,1.51402,2.93181,1.20884,1.15742,0.000578956,0.000578956,0.000578956
6,19089.1,1.39414,2.65554,1.06915,1.13996,0.42265,0.11136,0.11327,0.06564,0.38279,0.10161,0.10275,0.04647,1.52036,2.85325,1.18646,1.15918,0.000556945,0.000556945,0.000556945
7,21474.8,1.37353,2.62652,1.04971,1.13241,0.43609,0.10914,0.11501,0.06704,0.4039,0.10043,0.10557,0.0486,1.50129,2.82622,1.14878,1.15091,0.000534934,0.000534934,0.000534934
8,23858,1.36568,2.61174,1.03219,1.12546,0.42077,0.11086,0.11653,0.06903,0.39131,0.10189,0.10611,0.04791,1.46029,2.81158,1.13429,1.1319,0.000512923,0.000512923,0.000512923
9,26336.3,1.3473,2.60082,1.01685,1.11768,0.42331,0.11704,0.11862,0.0697,0.37881,0.10649,0.10764,0.04916,1.46935,2.78584,1.12094,1.1381,0.000490912,0.000490912,0.000490912
10,28728.2,1.33777,2.57391,0.99958,1.11447,0.41638,0.11649,0.12068,0.0703,0.3845,0.10623,0.11,0.04984,1.46765,2.7697,1.10475,1.11751,0.000468901,0.000468901,0.000468901
